Units,scenario,year,value
PPM,Reference,1975,0
PPM,Reference,1976,335.198
PPM,Reference,1977,336.567
PPM,Reference,1978,338.007
PPM,Reference,1979,339.495
PPM,Reference,1980,340.993
PPM,Reference,1981,342.414
PPM,Reference,1982,343.76
PPM,Reference,1983,345.032
PPM,Reference,1984,346.296
PPM,Reference,1985,347.618
PPM,Reference,1986,348.998
PPM,Reference,1987,350.435
PPM,Reference,1988,351.922
PPM,Reference,1989,353.482
PPM,Reference,1990,355.067
PPM,Reference,1991,356.58
PPM,Reference,1992,358.098
PPM,Reference,1993,359.377
PPM,Reference,1994,360.557
PPM,Reference,1995,361.863
PPM,Reference,1996,363.306
PPM,Reference,1997,364.851
PPM,Reference,1998,366.781
PPM,Reference,1999,368.452
PPM,Reference,2000,370.093
PPM,Reference,2001,371.832
PPM,Reference,2002,373.508
PPM,Reference,2003,375.302
PPM,Reference,2004,377.165
PPM,Reference,2005,379.263
PPM,Reference,2006,381.35
PPM,Reference,2007,383.599
PPM,Reference,2008,385.986
PPM,Reference,2009,388.508
PPM,Reference,2010,391.158
PPM,Reference,2011,393.934
PPM,Reference,2012,396.885
PPM,Reference,2013,399.91
PPM,Reference,2014,403.016
PPM,Reference,2015,406.196
PPM,Reference,2016,409.446
PPM,Reference,2017,412.167
PPM,Reference,2018,414.892
PPM,Reference,2019,417.624
PPM,Reference,2020,420.362
PPM,Reference,2021,423.107
PPM,Reference,2022,425.86
PPM,Reference,2023,428.883
PPM,Reference,2024,431.98
PPM,Reference,2025,435.151
PPM,Reference,2026,438.397
PPM,Reference,2027,441.613
PPM,Reference,2028,444.86
PPM,Reference,2029,448.139
PPM,Reference,2030,451.449
PPM,Reference,2031,454.789
PPM,Reference,2032,458.131
PPM,Reference,2033,461.489
PPM,Reference,2034,464.867
PPM,Reference,2035,468.265
PPM,Reference,2036,471.682
PPM,Reference,2037,475.072
PPM,Reference,2038,478.468
PPM,Reference,2039,481.871
PPM,Reference,2040,485.281
PPM,Reference,2041,488.698
PPM,Reference,2042,492.091
PPM,Reference,2043,495.488
PPM,Reference,2044,498.891
PPM,Reference,2045,502.301
PPM,Reference,2046,505.716
PPM,Reference,2047,509.162
PPM,Reference,2048,512.625
PPM,Reference,2049,516.107
PPM,Reference,2050,519.607
PPM,Reference,2051,523.127
PPM,Reference,2052,526.658
PPM,Reference,2053,530.208
PPM,Reference,2054,533.775
PPM,Reference,2055,537.36
PPM,Reference,2056,540.964
PPM,Reference,2057,544.577
PPM,Reference,2058,548.217
PPM,Reference,2059,551.885
PPM,Reference,2060,555.58
PPM,Reference,2061,559.303
PPM,Reference,2062,562.992
PPM,Reference,2063,566.705
PPM,Reference,2064,570.439
PPM,Reference,2065,574.198
PPM,Reference,2066,577.981
PPM,Reference,2067,581.747
PPM,Reference,2068,585.538
PPM,Reference,2069,589.353
PPM,Reference,2070,593.194
PPM,Reference,2071,597.059
PPM,Reference,2072,600.901
PPM,Reference,2073,604.767
PPM,Reference,2074,608.66
PPM,Reference,2075,612.579
PPM,Reference,2076,616.525
PPM,Reference,2077,620.461
PPM,Reference,2078,624.418
PPM,Reference,2079,628.394
PPM,Reference,2080,632.392
PPM,Reference,2081,636.41
PPM,Reference,2082,640.393
PPM,Reference,2083,644.378
PPM,Reference,2084,648.364
PPM,Reference,2085,652.353
PPM,Reference,2086,656.346
PPM,Reference,2087,660.318
PPM,Reference,2088,664.297
PPM,Reference,2089,668.283
PPM,Reference,2090,672.277
PPM,Reference,2091,676.278
PPM,Reference,2092,680.255
PPM,Reference,2093,684.234
PPM,Reference,2094,688.215
PPM,Reference,2095,692.199
PPM,Reference,2096,696.187
PPM,Reference,2097,700.153
PPM,Reference,2098,704.118
PPM,Reference,2099,708.082
PPM,Reference,2100,712.045
