Units,scenario,year,value
degreesC,Reference,1975,0.0493
degreesC,Reference,1976,0.205942
degreesC,Reference,1977,0.230119
degreesC,Reference,1978,0.255134
degreesC,Reference,1979,0.276887
degreesC,Reference,1980,0.294257
degreesC,Reference,1981,0.311623
degreesC,Reference,1982,0.308272
degreesC,Reference,1983,0.268259
degreesC,Reference,1984,0.277899
degreesC,Reference,1985,0.312728
degreesC,Reference,1986,0.345278
degreesC,Reference,1987,0.37666
degreesC,Reference,1988,0.409791
degreesC,Reference,1989,0.443338
degreesC,Reference,1990,0.47317
degreesC,Reference,1991,0.447607
degreesC,Reference,1992,0.32911
degreesC,Reference,1993,0.313186
degreesC,Reference,1994,0.375488
degreesC,Reference,1995,0.448012
degreesC,Reference,1996,0.511188
degreesC,Reference,1997,0.554275
degreesC,Reference,1998,0.593008
degreesC,Reference,1999,0.637842
degreesC,Reference,2000,0.679411
degreesC,Reference,2001,0.715411
degreesC,Reference,2002,0.742565
degreesC,Reference,2003,0.764752
degreesC,Reference,2004,0.78924
degreesC,Reference,2005,0.812269
degreesC,Reference,2006,0.835678
degreesC,Reference,2007,0.861623
degreesC,Reference,2008,0.890957
degreesC,Reference,2009,0.919658
degreesC,Reference,2010,0.952668
degreesC,Reference,2011,0.983402
degreesC,Reference,2012,1.01713
degreesC,Reference,2013,1.05298
degreesC,Reference,2014,1.08721
degreesC,Reference,2015,1.12046
degreesC,Reference,2016,1.15403
degreesC,Reference,2017,1.18734
degreesC,Reference,2018,1.22041
degreesC,Reference,2019,1.25332
degreesC,Reference,2020,1.28612
degreesC,Reference,2021,1.31889
degreesC,Reference,2022,1.34946
degreesC,Reference,2023,1.37857
degreesC,Reference,2024,1.40681
degreesC,Reference,2025,1.43569
degreesC,Reference,2026,1.465
degreesC,Reference,2027,1.49451
degreesC,Reference,2028,1.52415
degreesC,Reference,2029,1.55392
degreesC,Reference,2030,1.58382
degreesC,Reference,2031,1.6138
degreesC,Reference,2032,1.64385
degreesC,Reference,2033,1.67394
degreesC,Reference,2034,1.70409
degreesC,Reference,2035,1.73429
degreesC,Reference,2036,1.76441
degreesC,Reference,2037,1.7944
degreesC,Reference,2038,1.82429
degreesC,Reference,2039,1.85408
degreesC,Reference,2040,1.8838
degreesC,Reference,2041,1.91362
degreesC,Reference,2042,1.94348
degreesC,Reference,2043,1.97336
degreesC,Reference,2044,2.00324
degreesC,Reference,2045,2.03312
degreesC,Reference,2046,2.06295
degreesC,Reference,2047,2.09277
degreesC,Reference,2048,2.12261
degreesC,Reference,2049,2.15248
degreesC,Reference,2050,2.1824
degreesC,Reference,2051,2.21245
degreesC,Reference,2052,2.24264
degreesC,Reference,2053,2.27293
degreesC,Reference,2054,2.30333
degreesC,Reference,2055,2.33382
degreesC,Reference,2056,2.3643
degreesC,Reference,2057,2.39478
degreesC,Reference,2058,2.42529
degreesC,Reference,2059,2.45584
degreesC,Reference,2060,2.48646
degreesC,Reference,2061,2.51714
degreesC,Reference,2062,2.54783
degreesC,Reference,2063,2.57854
degreesC,Reference,2064,2.60927
degreesC,Reference,2065,2.64005
degreesC,Reference,2066,2.67082
degreesC,Reference,2067,2.70157
degreesC,Reference,2068,2.73231
degreesC,Reference,2069,2.76305
degreesC,Reference,2070,2.79381
degreesC,Reference,2071,2.82462
degreesC,Reference,2072,2.85545
degreesC,Reference,2073,2.8863
degreesC,Reference,2074,2.91716
degreesC,Reference,2075,2.94805
degreesC,Reference,2076,2.97898
degreesC,Reference,2077,3.00993
degreesC,Reference,2078,3.04087
degreesC,Reference,2079,3.07181
degreesC,Reference,2080,3.10275
degreesC,Reference,2081,3.1338
degreesC,Reference,2082,3.16487
degreesC,Reference,2083,3.19594
degreesC,Reference,2084,3.22699
degreesC,Reference,2085,3.258
degreesC,Reference,2086,3.28896
degreesC,Reference,2087,3.31985
degreesC,Reference,2088,3.35068
degreesC,Reference,2089,3.38145
degreesC,Reference,2090,3.41217
degreesC,Reference,2091,3.44286
degreesC,Reference,2092,3.47351
degreesC,Reference,2093,3.50409
degreesC,Reference,2094,3.53461
degreesC,Reference,2095,3.56506
degreesC,Reference,2096,3.59548
degreesC,Reference,2097,3.62582
degreesC,Reference,2098,3.65609
degreesC,Reference,2099,3.68628
degreesC,Reference,2100,3.71638
