Units,scenario,year,value
degreesC,Reference,1975,0.0406
degreesC,Reference,1976,0.174547
degreesC,Reference,1977,0.195731
degreesC,Reference,1978,0.217159
degreesC,Reference,1979,0.235523
degreesC,Reference,1980,0.25003
degreesC,Reference,1981,0.264787
degreesC,Reference,1982,0.26043
degreesC,Reference,1983,0.223733
degreesC,Reference,1984,0.235164
degreesC,Reference,1985,0.266256
degreesC,Reference,1986,0.293975
degreesC,Reference,1987,0.320787
degreesC,Reference,1988,0.349168
degreesC,Reference,1989,0.377769
degreesC,Reference,1990,0.402901
degreesC,Reference,1991,0.377237
degreesC,Reference,1992,0.269734
degreesC,Reference,1993,0.26277
degreesC,Reference,1994,0.320488
degreesC,Reference,1995,0.383277
degreesC,Reference,1996,0.436965
degreesC,Reference,1997,0.472552
degreesC,Reference,1998,0.505306
degreesC,Reference,1999,0.543803
degreesC,Reference,2000,0.57887
degreesC,Reference,2001,0.609064
degreesC,Reference,2002,0.63144
degreesC,Reference,2003,0.649813
degreesC,Reference,2004,0.670606
degreesC,Reference,2005,0.6899
degreesC,Reference,2006,0.709684
degreesC,Reference,2007,0.731773
degreesC,Reference,2008,0.756823
degreesC,Reference,2009,0.781074
degreesC,Reference,2010,0.80935
degreesC,Reference,2011,0.835216
degreesC,Reference,2012,0.864014
degreesC,Reference,2013,0.894534
degreesC,Reference,2014,0.923427
degreesC,Reference,2015,0.951525
degreesC,Reference,2016,0.979964
degreesC,Reference,2017,1.00813
degreesC,Reference,2018,1.03609
degreesC,Reference,2019,1.06391
degreesC,Reference,2020,1.09165
degreesC,Reference,2021,1.11936
degreesC,Reference,2022,1.14504
degreesC,Reference,2023,1.16953
degreesC,Reference,2024,1.19329
degreesC,Reference,2025,1.21771
degreesC,Reference,2026,1.24248
degreesC,Reference,2027,1.26741
degreesC,Reference,2028,1.29246
degreesC,Reference,2029,1.31762
degreesC,Reference,2030,1.34287
degreesC,Reference,2031,1.36821
degreesC,Reference,2032,1.39359
degreesC,Reference,2033,1.41902
degreesC,Reference,2034,1.44449
degreesC,Reference,2035,1.47
degreesC,Reference,2036,1.49543
degreesC,Reference,2037,1.52075
degreesC,Reference,2038,1.54598
degreesC,Reference,2039,1.57113
degreesC,Reference,2040,1.59622
degreesC,Reference,2041,1.6214
degreesC,Reference,2042,1.64661
degreesC,Reference,2043,1.67184
degreesC,Reference,2044,1.69707
degreesC,Reference,2045,1.72229
degreesC,Reference,2046,1.74747
degreesC,Reference,2047,1.77265
degreesC,Reference,2048,1.79784
degreesC,Reference,2049,1.82305
degreesC,Reference,2050,1.84831
degreesC,Reference,2051,1.87369
degreesC,Reference,2052,1.89918
degreesC,Reference,2053,1.92477
degreesC,Reference,2054,1.95043
degreesC,Reference,2055,1.97618
degreesC,Reference,2056,2.00191
degreesC,Reference,2057,2.02764
degreesC,Reference,2058,2.0534
degreesC,Reference,2059,2.07919
degreesC,Reference,2060,2.10504
degreesC,Reference,2061,2.13094
degreesC,Reference,2062,2.15685
degreesC,Reference,2063,2.18276
degreesC,Reference,2064,2.20871
degreesC,Reference,2065,2.23468
degreesC,Reference,2066,2.26066
degreesC,Reference,2067,2.2866
degreesC,Reference,2068,2.31254
degreesC,Reference,2069,2.33849
degreesC,Reference,2070,2.36444
degreesC,Reference,2071,2.39045
degreesC,Reference,2072,2.41647
degreesC,Reference,2073,2.44249
degreesC,Reference,2074,2.46854
degreesC,Reference,2075,2.4946
degreesC,Reference,2076,2.52071
degreesC,Reference,2077,2.54682
degreesC,Reference,2078,2.57293
degreesC,Reference,2079,2.59904
degreesC,Reference,2080,2.62514
degreesC,Reference,2081,2.65134
degreesC,Reference,2082,2.67756
degreesC,Reference,2083,2.70377
degreesC,Reference,2084,2.72996
degreesC,Reference,2085,2.75612
degreesC,Reference,2086,2.78224
degreesC,Reference,2087,2.80829
degreesC,Reference,2088,2.83429
degreesC,Reference,2089,2.86024
degreesC,Reference,2090,2.88615
degreesC,Reference,2091,2.91204
degreesC,Reference,2092,2.93788
degreesC,Reference,2093,2.96367
degreesC,Reference,2094,2.9894
degreesC,Reference,2095,3.01508
degreesC,Reference,2096,3.04073
degreesC,Reference,2097,3.06631
degreesC,Reference,2098,3.09183
degreesC,Reference,2099,3.11728
degreesC,Reference,2100,3.14265
