Units,scenario,year,value
W/m^2,Reference,1975,0
W/m^2,Reference,1976,0.464716
W/m^2,Reference,1977,0.594197
W/m^2,Reference,1978,0.664068
W/m^2,Reference,1979,0.692504
W/m^2,Reference,1980,0.697559
W/m^2,Reference,1981,0.738601
W/m^2,Reference,1982,0.533521
W/m^2,Reference,1983,0.103943
W/m^2,Reference,1984,0.5807
W/m^2,Reference,1985,0.835558
W/m^2,Reference,1986,0.896681
W/m^2,Reference,1987,0.979051
W/m^2,Reference,1988,1.07948
W/m^2,Reference,1989,1.16347
W/m^2,Reference,1990,1.19961
W/m^2,Reference,1991,0.625996
W/m^2,Reference,1992,-0.497171
W/m^2,Reference,1993,0.404541
W/m^2,Reference,1994,1.13701
W/m^2,Reference,1995,1.3982
W/m^2,Reference,1996,1.51208
W/m^2,Reference,1997,1.46384
W/m^2,Reference,1998,1.53517
W/m^2,Reference,1999,1.69082
W/m^2,Reference,2000,1.74734
W/m^2,Reference,2001,1.77736
W/m^2,Reference,2002,1.75085
W/m^2,Reference,2003,1.74551
W/m^2,Reference,2004,1.80566
W/m^2,Reference,2005,1.82425
W/m^2,Reference,2006,1.86675
W/m^2,Reference,2007,1.93326
W/m^2,Reference,2008,2.01624
W/m^2,Reference,2009,2.06227
W/m^2,Reference,2010,2.16758
W/m^2,Reference,2011,2.20243
W/m^2,Reference,2012,2.29884
W/m^2,Reference,2013,2.386
W/m^2,Reference,2014,2.43741
W/m^2,Reference,2015,2.49377
W/m^2,Reference,2016,2.55982
W/m^2,Reference,2017,2.61835
W/m^2,Reference,2018,2.67688
W/m^2,Reference,2019,2.73482
W/m^2,Reference,2020,2.79281
W/m^2,Reference,2021,2.85076
W/m^2,Reference,2022,2.88334
W/m^2,Reference,2023,2.91987
W/m^2,Reference,2024,2.95759
W/m^2,Reference,2025,3.01042
W/m^2,Reference,2026,3.06152
W/m^2,Reference,2027,3.11203
W/m^2,Reference,2028,3.16279
W/m^2,Reference,2029,3.21379
W/m^2,Reference,2030,3.265
W/m^2,Reference,2031,3.31618
W/m^2,Reference,2032,3.36714
W/m^2,Reference,2033,3.41807
W/m^2,Reference,2034,3.46902
W/m^2,Reference,2035,3.51999
W/m^2,Reference,2036,3.56941
W/m^2,Reference,2037,3.61813
W/m^2,Reference,2038,3.66658
W/m^2,Reference,2039,3.71479
W/m^2,Reference,2040,3.76275
W/m^2,Reference,2041,3.81246
W/m^2,Reference,2042,3.86165
W/m^2,Reference,2043,3.91067
W/m^2,Reference,2044,3.95954
W/m^2,Reference,2045,4.00826
W/m^2,Reference,2046,4.05634
W/m^2,Reference,2047,4.10473
W/m^2,Reference,2048,4.15326
W/m^2,Reference,2049,4.20194
W/m^2,Reference,2050,4.25076
W/m^2,Reference,2051,4.30077
W/m^2,Reference,2052,4.35084
W/m^2,Reference,2053,4.40104
W/m^2,Reference,2054,4.45136
W/m^2,Reference,2055,4.5018
W/m^2,Reference,2056,4.55116
W/m^2,Reference,2057,4.60053
W/m^2,Reference,2058,4.65011
W/m^2,Reference,2059,4.69987
W/m^2,Reference,2060,4.74982
W/m^2,Reference,2061,4.79981
W/m^2,Reference,2062,4.84927
W/m^2,Reference,2063,4.8988
W/m^2,Reference,2064,4.94839
W/m^2,Reference,2065,4.99805
W/m^2,Reference,2066,5.04731
W/m^2,Reference,2067,5.09618
W/m^2,Reference,2068,5.14509
W/m^2,Reference,2069,5.19403
W/m^2,Reference,2070,5.24302
W/m^2,Reference,2071,5.2925
W/m^2,Reference,2072,5.34148
W/m^2,Reference,2073,5.3905
W/m^2,Reference,2074,5.43955
W/m^2,Reference,2075,5.48863
W/m^2,Reference,2076,5.53795
W/m^2,Reference,2077,5.58686
W/m^2,Reference,2078,5.63567
W/m^2,Reference,2079,5.6844
W/m^2,Reference,2080,5.73304
W/m^2,Reference,2081,5.7828
W/m^2,Reference,2082,5.83189
W/m^2,Reference,2083,5.88066
W/m^2,Reference,2084,5.92914
W/m^2,Reference,2085,5.97735
W/m^2,Reference,2086,6.02524
W/m^2,Reference,2087,6.0727
W/m^2,Reference,2088,6.11998
W/m^2,Reference,2089,6.16711
W/m^2,Reference,2090,6.21407
W/m^2,Reference,2091,6.26125
W/m^2,Reference,2092,6.30795
W/m^2,Reference,2093,6.35441
W/m^2,Reference,2094,6.40066
W/m^2,Reference,2095,6.4467
W/m^2,Reference,2096,6.49282
W/m^2,Reference,2097,6.53848
W/m^2,Reference,2098,6.58387
W/m^2,Reference,2099,6.62899
W/m^2,Reference,2100,6.67387
