Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 -0.508693070772 -0.378693070772 0.00460680322682 0.0146068032268 -0.0290115821849 -0.0590115821849 0.0175721667219 0.000614140240997 0 0 0. 0.50874079 0.53637711 0.0122828
2037 -0.301035741988 -0.67972881276 0.0428829246068 0.0574897278336 -0.0256038261413 -0.0846154083262 0.0171108034592 0.00445906359965 0 0 0. 0.3795522 0.58021006 0.08918127
2038 -0.350548692041 -1.0302775048 0.00949662142792 0.0669863492615 0.022350314943 -0.0622650933832 0.0125985283587 0.00800394210815 0 0.0016248364608 0.06499346 0.08909249 0.44926989 0.2250723
2039 -0.245088663473 -1.27536616827 0.0821073621935 0.149093711455 0.0476419090629 -0.0622650933832 0.00897054126324 0.00897054126324 0 0.0 0. 0. 0.40367436 0.17941083
2040 -0.103733610019 -1.37909977829 0.0607361326627 0.209829844118 -0.00150461708583 -0.0622650933832 0.00756414899396 0.00756414899396 0 0.0 0. 0. 0.3403867 0.15128298
2041 -0.0305027317688 -1.40960251006 -0.00608695322073 0.203742890897 -0.0270476343901 -0.0622650933832 0.0118160740746 0.0118160740746 0 0 0. 0. 0.53172333 0.23632148
2042 0.240122454024 -1.16948005604 0.103567584733 0.30731047563 0.0227209263406 -0.0622650933832 0.0246327558832 0.0246327558832 0 0.0 0. 0. 1.10847401 0.49265512
2043 0.175438304427 -0.994041751613 0.130948019944 0.438258495574 -0.000343354366427 -0.0622650933832 0.0301295569165 0.0301295569165 0 0 0. 0. 1.35583006 0.60259114
2044 0.0704672821435 -0.923574469469 0.131220750158 0.569479245732 0.0393159715156 -0.0622650933832 0.0329681384719 0.0329681384719 0 0.0 0. 0. 1.48356623 0.65936277
2045 -0.100577880113 -1.02415234958 0.153448175022 0.722927420754 0.140909057908 -0.0622650933832 0.0314674367966 0.0314674367966 0 0.0 0. 0. 1.41603466 0.62934874
2046 -0.0790098412807 -1.10316219086 0.0250587716757 0.74798619243 0.086425178929 -0.0622650933832 0.0338862518118 0.0338862518118 0 0.0 0. 0. 1.52488133 0.67772504
2047 0.216277952409 -0.886884238451 0.0268553612019 0.774841553632 0.0542130667973 -0.0622650933832 0.0467179049654 0.0467179049654 0 0.0 0. 0. 2.10230572 0.9343581
2048 0.360507279387 -0.526376959064 0.000787894244256 0.775629447876 0.0350625547858 -0.0622650933832 0.0594245848619 0.0594245848619 0 0.0 0. 0. 2.67410632 1.1884917
2049 0.329695962809 -0.196680996255 -0.00681424973515 0.768815198141 0.0308927157408 -0.0313723776424 0.0683641738879 0.056161584471 0 0 0. 0.36607768 2.89334898 1.12323169
2050 0.0851721380153 -0.11150885824 -0.0315298302746 0.737285367866 0.0260356479077 -0.00533672973473 0.0689180380199 0.0533843729707 0 0.00694002445007 0.27760098 0.25780922 2.660106 1.34528844
2051 0.195962840744 0.0844539825045 0.0138983660304 0.751183733896 -0.0107835251118 -0.0161202548465 0.0780016278655 0.0550448681918 0 0 0. 0.68870279 3.16572186 1.10089736
2052 0.297601592831 0.382055575335 -0.0259622672004 0.725221466696 -0.0200178619237 -0.0361381167702 0.0887777261774 0.0464353546333 0 0 0. 1.27027115 3.3598621 0.92870709
2053 0.0923616958727 0.474417271208 -0.0203938919674 0.704827574729 0.0613137036081 0.0251755868379 0.0901820550976 0.0463518287631 0 0.0166126035216 0.66450414 0.81652868 2.90236098 1.59154072
2054 0.0360545792353 0.510471850443 -0.0210145714369 0.683813003292 -0.0126504692018 0.0125251176361 0.0932814336631 0.0449080050871 0 0 0. 1.45120286 3.47206309 0.8981601
2055 0.18819275962 0.698664610063 -0.0251527009235 0.658660302369 -0.005220080361 0.0073050372751 0.102979489865 0.0395883774562 0 0 0. 1.90173337 3.68321036 0.79176755
2056 0.0894648268349 0.788129436898 -0.062177708305 0.596482594064 -0.0296089591868 -0.0223039219117 0.106279975026 0.0322031703845 0 0 0. 2.22230414 3.67144681 0.64406341
2057 0.238675535115 1.02680497201 -0.0406372113661 0.555845382698 0.0386402413686 0.0163363194569 0.11684829328 0.0272160286611 0 0 0. 2.68896794 3.91368923 0.54432057
2058 0.169254637189 1.1960596092 -0.11403079244 0.441814590258 -0.0132367470739 0.00309957238296 0.122145250709 0.0121894946213 0 0 0. 3.29867268 3.84719994 0.24378989
2059 0.104706406823 1.30076601602 -0.172176756651 0.269637833607 0.0268915504125 0.0299911227955 0.126350145338 0 0.00552125357423 0 0.11042507 3.87332316 3.62486675 0.
2060 0.209444496592 1.51021051261 -0.0491381076858 0.220499725921 0.0836935983729 0.113684721168 0.135569686668 0 0.0028313134811 0.0301123490284 1.26112023 3.20618983 3.07878072 1.20449396
2061 0.0845068874681 1.59471740008 0.0197911241063 0.240290850027 0.0994711143346 0.213155835503 0.138299804462 0.00421927042121 0 0.0668098038871 2.67239216 2.0181219 2.20798907 2.75677756
2062 0.151322693122 1.7460400932 -0.0511058031132 0.189185046914 0.0341175200415 0.247273355545 0.14576173899 0 0.00696350243668 0.0530722141931 2.26215862 2.88513828 2.57178067 2.12288857
2063 0.335995554904 2.0820356481 -0.0877498504643 0.10143519645 0.0122500406886 0.259523396234 0.158759971015 0 0.0210944789548 0.0405433413047 2.04362323 3.86291608 2.91366452 1.62173365
2064 0.120469049357 2.20250469746 -0.0317795991694 0.0696555972806 0.00653461867021 0.266058014904 0.160490419567 0 0.0184031471256 0.0425384821085 2.06960223 3.81460533 2.98646371 1.70153928
2065 0.207709070829 2.41021376829 -0.00451365528005 0.0651419420005 -0.00243194040429 0.2636260745 0.169357987956 0 0.0193886839879 0.0335845818819 1.73115696 4.36403244 3.49154166 1.34338328
2066 0.321284343095 2.73149811138 0.0846758745957 0.149817816596 0.0326961750803 0.29632224958 0.180785918917 0 0.0102755845117 0.0467878295772 2.07702487 4.17407645 3.71167514 1.87151318
2067 0.231075073107 2.96257318449 0.0687805715073 0.218598388103 0.0829922598549 0.379314509435 0.186833763114 0 0.00758224589831 0.0857959489044 3.58348287 3.14486811 2.80366705 3.43183796
2068 0.234191385689 3.19676457018 0.00800443044203 0.226602818545 0.00808683345214 0.387401342887 0.194646493992 0 0.0137273211475 0.0606058170255 2.6987791 4.22713013 3.60940067 2.42423268
2069 0.277473095211 3.47423766539 -0.0258950222977 0.200707796247 -0.0101638595286 0.377237483358 0.203986306919 0 0.0211647515811 0.0458706637159 2.25812158 5.06094057 4.10852675 1.83482655
2070 0.0548251043191 3.52906276971 0.0568731571249 0.257580953372 0.135202168078 0.512439651436 0.204385148095 0 0.00911417952694 0.136479099594 5.64144757 2.17389415 1.76375607 5.45916398
