Timestamp dSSI sum(dSSI) fdfwd fdbk 60N(Tg)
2035 -3.4811 -3.4811 7.4590 1.7092 9.1782
2036 -2.13128357944 -5.61238357944 7.741 2.75568033751 10.4966803375
2037 -0.607021454751 -6.21940503419 8.013 3.05372787179 11.0667278718
2038 0.656464429095 -5.56294060509 8.285 2.7314038371 11.0164038371
2039 0.45969259579 -5.1032480093 8.557 2.50569477257 11.0626947726
2040 0.142260775325 -4.96098723397 8.829 2.43584473188 11.2648447319
2041 0.899996527861 -4.06099070611 9.101 1.9939464367 11.0949464367
2042 -0.00299498816971 -4.06398569428 9.373 1.99541697589 11.3684169759
2043 0.49017797227 -3.57380772201 9.645 1.75473959151 11.3997395915
2044 0.737693993231 -2.83611372878 9.917 1.39253184083 11.3095318408
2045 0.822212372131 -2.01390135665 10.189 0.988825566115 11.1778255661
2046 0.595601185242 -1.41830017141 10.461 0.696385384161 11.1573853842
2047 0.52134199167 -0.89695817974 10.733 0.440406466252 11.1734064663
2048 -0.391067498857 -1.2880256786 11.005 0.632420608191 11.6374206082
2049 0.722513465456 -0.565512213144 11.277 0.277666496654 11.5546664967
2050 0.78206301936 0.216550806216 11.549 -0.106326445852 11.4426735541
2051 1.3831063645 1.59965717072 11.821 -0.785431670822 11.0355683292
2052 1.39430247503 2.99395964575 12.093 -1.47003418606 10.6229658139
2053 1.20866272696 4.20262237271 12.365 -2.063487585 10.301512415
2054 1.02796736542 5.23058973813 12.637 -2.56821956142 10.0687804386
2055 0.67816023505 5.90874997318 12.909 -2.90119623683 10.0078037632
2056 1.68018918565 7.58893915883 13.181 -3.72616912699 9.45483087301
2057 1.38944783907 8.9783869979 13.453 -4.40838801597 9.04461198403
2058 0.536897772793 9.51528477069 13.725 -4.67200482241 9.05299517759
2059 0.00403806732574 9.51932283802 13.997 -4.67398751347 9.32301248653
2060 -0.471206282898 9.04811655512 14.269 -4.44262522857 9.82637477143
2061 0.297852634519 9.34596918964 14.541 -4.58887087211 9.95212912789
2062 0.885671703302 10.2316408929 14.813 -5.02373567843 9.78926432157
2063 -0.188828177291 10.0428127156 15.085 -4.93102104336 10.1539789566


